date,sex,total_hospitalised,total_icu
2021-10-05,Female,144,6
2021-10-05,Male,135,13
2021-10-05,Total,279,19
2021-10-06,Female,146,6
2021-10-06,Male,136,13
2021-10-06,Total,282,19
2021-10-07,Female,146,6
2021-10-07,Male,136,13
2021-10-07,Total,282,19
2021-10-08,Female,147,6
2021-10-08,Male,137,13
2021-10-08,Total,284,19
2021-10-09,Female,148,6
2021-10-09,Male,138,13
2021-10-09,Total,286,19
2021-10-10,Female,152,6
2021-10-10,Male,144,13
2021-10-10,Total,297,19
2021-10-11,Female,153,6
2021-10-11,Male,144,13
2021-10-11,Total,298,19
2021-10-12,Female,156,6
2021-10-12,Male,146,13
2021-10-12,Total,303,19
2021-10-13,Female,160,6
2021-10-13,Male,148,13
2021-10-13,Total,309,19
2021-10-14,Female,162,6
2021-10-14,Male,148,13
2021-10-14,Total,310,19
2021-10-15,Female,165,16
2021-10-15,Male,148,25
2021-10-15,Total,313,41
2021-10-16,Female,165,16
2021-10-16,Male,150,25
2021-10-16,Total,315,41
2021-10-17,Female,166,16
2021-10-17,Male,152,25
2021-10-17,Total,318,41
2021-10-18,Female,166,16
2021-10-18,Male,153,25
2021-10-18,Total,319,41
2021-10-19,Female,167,16
2021-10-19,Male,154,25
2021-10-19,Total,321,41
2021-10-20,Female,172,16
2021-10-20,Male,156,25
2021-10-20,Total,328,41
2021-10-21,Female,175,16
2021-10-21,Male,161,25
2021-10-21,Total,336,41
2021-10-22,Female,179,16
2021-10-22,Male,168,25
2021-10-22,Total,347,41
2021-10-23,Female,180,16
2021-10-23,Male,171,25
2021-10-23,Total,351,41
2021-10-25,Female,186,16
2021-10-25,Male,178,25
2021-10-25,Total,364,41
2021-10-26,Female,186,16
2021-10-26,Male,178,25
2021-10-26,Total,364,41
2021-10-27,Female,190,16
2021-10-27,Male,181,25
2021-10-27,Total,371,41
2021-10-28,Female,190,16
2021-10-28,Male,186,25
2021-10-28,Total,376,41
2021-10-29,Female,191,16
2021-10-29,Male,190,25
2021-10-29,Total,381,41
2021-10-30,Female,192,16
2021-10-30,Male,195,25
2021-10-30,Total,387,41
2021-10-31,Female,198,16
2021-10-31,Male,197,25
2021-10-31,Total,395,41
2021-11-01,Female,201,16
2021-11-01,Male,199,25
2021-11-01,Total,400,41
2021-11-02,Female,203,16
2021-11-02,Male,200,25
2021-11-02,Total,403,41
2021-11-03,Female,206,16
2021-11-03,Male,206,25
2021-11-03,Total,412,41
2021-11-05,Female,211,16
2021-11-05,Male,214,25
2021-11-05,Total,425,41
2021-11-11,Female,225,16
2021-11-11,Male,230,27
2021-11-11,Total,455,43
2021-11-15,Female,237,16
2021-11-15,Male,241,27
2021-11-15,Total,479,43
2021-11-17,Female,248,16
2021-11-17,Male,249,27
2021-11-17,Total,498,43
2021-11-18,Female,251,16
2021-11-18,Male,252,27
2021-11-18,Total,504,43
2021-11-20,Female,256,16
2021-11-20,Male,256,27
2021-11-20,Total,512,43
2021-11-21,Female,259,16
2021-11-21,Male,259,27
2021-11-21,Total,518,43
2021-11-22,Female,262,16
2021-11-22,Male,265,28
2021-11-22,Total,527,44
2021-11-23,Female,265,16
2021-11-23,Male,269,29
2021-11-23,Total,534,45
2021-11-24,Female,271,16
2021-11-24,Male,270,29
2021-11-24,Total,541,45
2021-11-25,Female,276,16
2021-11-25,Male,272,30
2021-11-25,Total,548,46
2021-11-26,Female,280,16
2021-11-26,Male,277,31
2021-11-26,Total,557,47
2021-11-27,Female,281,16
2021-11-27,Male,279,33
2021-11-27,Total,560,49
2021-11-28,Female,285,16
2021-11-28,Male,285,34
2021-11-28,Total,570,50
2021-11-29,Female,291,16
2021-11-29,Male,291,34
2021-11-29,Total,582,50
2021-11-30,Female,293,16
2021-11-30,Male,292,34
2021-11-30,Total,585,50
2021-12-01,Female,294,16
2021-12-01,Male,294,34
2021-12-01,Total,588,50
2021-12-02,Female,296,16
2021-12-02,Male,301,34
2021-12-02,Total,597,50
2021-12-03,Female,296,16
2021-12-03,Male,304,34
2021-12-03,Total,600,50
2021-12-04,Female,296,16
2021-12-04,Male,305,35
2021-12-04,Total,601,51
2021-12-05,Female,299,16
2021-12-05,Male,306,35
2021-12-05,Total,605,51
2021-12-06,Female,302,16
2021-12-06,Male,313,35
2021-12-06,Total,615,51
2021-12-07,Female,306,16
2021-12-07,Male,316,35
2021-12-07,Total,622,51
2021-12-08,Female,309,16
2021-12-08,Male,318,35
2021-12-08,Total,627,51
2021-12-09,Female,310,16
2021-12-09,Male,319,35
2021-12-09,Total,629,51
2021-12-10,Female,311,16
2021-12-10,Male,319,35
2021-12-10,Total,630,51
