date,age_group,total_hospitalised,total_icu
2021-10-15,60 to 69,40,9
2021-10-15,70 to 79,32,4
2021-10-15,80 to 89,8,0
2021-10-15,90+,6,0
2021-10-15,Total,313,41
2021-10-16,0 to 9,8,0
2021-10-16,10 to 19,8,1
2021-10-16,20 to 29,34,3
2021-10-16,30 to 39,42,6
2021-10-16,40 to 49,62,7
2021-10-16,50 to 59,75,11
2021-10-16,60 to 69,40,9
2021-10-16,70 to 79,32,4
2021-10-16,80 to 89,8,0
2021-10-16,90+,6,0
2021-10-16,Total,315,41
2021-10-17,0 to 9,8,0
2021-10-17,10 to 19,8,1
2021-10-17,20 to 29,34,3
2021-10-17,30 to 39,43,6
2021-10-17,40 to 49,63,7
2021-10-17,50 to 59,76,11
2021-10-17,60 to 69,40,9
2021-10-17,70 to 79,32,4
2021-10-17,80 to 89,8,0
2021-10-17,90+,6,0
2021-10-17,Total,318,41
2021-10-18,0 to 9,8,0
2021-10-18,10 to 19,8,1
2021-10-18,20 to 29,35,3
2021-10-18,30 to 39,43,6
2021-10-18,40 to 49,63,7
2021-10-18,50 to 59,76,11
2021-10-18,60 to 69,40,9
2021-10-18,70 to 79,32,4
2021-10-18,80 to 89,8,0
2021-10-18,90+,6,0
2021-10-18,Total,319,41
2021-10-19,0 to 9,8,0
2021-10-19,10 to 19,8,1
2021-10-19,20 to 29,35,3
2021-10-19,30 to 39,44,6
2021-10-19,40 to 49,63,7
2021-10-19,50 to 59,76,11
2021-10-19,60 to 69,41,9
2021-10-19,70 to 79,32,4
2021-10-19,80 to 89,8,0
2021-10-19,90+,6,0
2021-10-19,Total,321,41
2021-10-20,0 to 9,8,0
2021-10-20,10 to 19,8,1
2021-10-20,20 to 29,36,3
2021-10-20,30 to 39,46,6
2021-10-20,40 to 49,64,7
2021-10-20,50 to 59,78,11
2021-10-20,60 to 69,41,9
2021-10-20,70 to 79,33,4
2021-10-20,80 to 89,8,0
2021-10-20,90+,6,0
2021-10-20,Total,328,41
2021-10-21,0 to 9,8,0
2021-10-21,10 to 19,8,1
2021-10-21,20 to 29,40,3
2021-10-21,30 to 39,48,6
2021-10-21,40 to 49,64,7
2021-10-21,50 to 59,78,11
2021-10-21,60 to 69,43,9
2021-10-21,70 to 79,33,4
2021-10-21,80 to 89,8,0
2021-10-21,90+,6,0
2021-10-21,Total,336,41
2021-10-22,0 to 9,8,0
2021-10-22,10 to 19,10,1
2021-10-22,20 to 29,41,3
2021-10-22,30 to 39,50,6
2021-10-22,40 to 49,67,7
2021-10-22,50 to 59,79,11
2021-10-22,60 to 69,44,9
2021-10-22,70 to 79,33,4
2021-10-22,80 to 89,9,0
2021-10-22,90+,6,0
2021-10-22,Total,347,41
2021-10-23,0 to 9,8,0
2021-10-23,10 to 19,10,1
2021-10-23,20 to 29,43,3
2021-10-23,30 to 39,52,6
2021-10-23,40 to 49,67,7
2021-10-23,50 to 59,79,11
2021-10-23,60 to 69,44,9
2021-10-23,70 to 79,33,4
2021-10-23,80 to 89,9,0
2021-10-23,90+,6,0
2021-10-23,Total,351,41
2021-10-25,0 to 9,9,0
2021-10-25,10 to 19,9,1
2021-10-25,20 to 29,45,3
2021-10-25,30 to 39,61,6
2021-10-25,40 to 49,69,7
2021-10-25,50 to 59,79,11
2021-10-25,60 to 69,44,9
2021-10-25,70 to 79,33,4
2021-10-25,80 to 89,9,0
2021-10-25,90+,6,0
2021-10-25,Total,364,41
2021-10-26,0 to 9,9,0
2021-10-26,10 to 19,9,1
2021-10-26,20 to 29,46,3
2021-10-26,30 to 39,60,6
2021-10-26,40 to 49,69,7
2021-10-26,50 to 59,79,11
2021-10-26,60 to 69,44,9
2021-10-26,70 to 79,33,4
2021-10-26,80 to 89,9,0
2021-10-26,90+,6,0
2021-10-26,Total,364,41
2021-10-27,0 to 9,9,0
2021-10-27,10 to 19,9,1
2021-10-27,20 to 29,48,3
2021-10-27,30 to 39,61,6
2021-10-27,40 to 49,72,7
2021-10-27,50 to 59,80,11
2021-10-27,60 to 69,44,9
2021-10-27,70 to 79,33,4
2021-10-27,80 to 89,9,0
2021-10-27,90+,6,0
2021-10-27,Total,371,41
2021-10-28,0 to 9,10,0
2021-10-28,10 to 19,9,1
2021-10-28,20 to 29,49,3
2021-10-28,30 to 39,62,6
2021-10-28,40 to 49,73,7
2021-10-28,50 to 59,81,11
2021-10-28,60 to 69,44,9
2021-10-28,70 to 79,33,4
2021-10-28,80 to 89,9,0
2021-10-28,90+,6,0
2021-10-28,Total,376,41
2021-10-29,0 to 9,11,0
2021-10-29,10 to 19,9,1
2021-10-29,20 to 29,50,3
2021-10-29,30 to 39,63,6
2021-10-29,40 to 49,73,7
2021-10-29,50 to 59,81,11
2021-10-29,60 to 69,45,9
2021-10-29,70 to 79,33,4
2021-10-29,80 to 89,10,0
2021-10-29,90+,6,0
2021-10-29,Total,381,41
2021-10-30,0 to 9,12,0
2021-10-30,10 to 19,9,1
2021-10-30,20 to 29,50,3
2021-10-30,30 to 39,63,6
2021-10-30,40 to 49,75,7
2021-10-30,50 to 59,84,11
2021-10-30,60 to 69,45,9
2021-10-30,70 to 79,33,4
2021-10-30,80 to 89,10,0
2021-10-30,90+,6,0
2021-10-30,Total,387,41
2021-10-31,0 to 9,12,0
2021-10-31,10 to 19,9,1
2021-10-31,20 to 29,53,3
2021-10-31,30 to 39,64,6
2021-10-31,40 to 49,77,7
2021-10-31,50 to 59,85,11
2021-10-31,60 to 69,45,9
2021-10-31,70 to 79,33,4
2021-10-31,80 to 89,11,0
2021-10-31,90+,6,0
2021-10-31,Total,395,41
2021-11-01,0 to 9,13,0
2021-11-01,10 to 19,9,1
2021-11-01,20 to 29,53,3
2021-11-01,30 to 39,66,6
2021-11-01,40 to 49,77,7
2021-11-01,50 to 59,87,11
2021-11-01,60 to 69,45,9
2021-11-01,70 to 79,33,4
2021-11-01,80 to 89,11,0
2021-11-01,90+,6,0
2021-11-01,Total,400,41
2021-11-02,0 to 9,13,0
2021-11-02,10 to 19,9,1
2021-11-02,20 to 29,54,3
2021-11-02,30 to 39,66,6
2021-11-02,40 to 49,78,7
2021-11-02,50 to 59,88,11
2021-11-02,60 to 69,45,9
2021-11-02,70 to 79,33,4
2021-11-02,80 to 89,11,0
2021-11-02,90+,6,0
2021-11-02,Total,403,41
2021-11-03,0 to 9,14,0
2021-11-03,10 to 19,9,1
2021-11-03,20 to 29,55,3
2021-11-03,30 to 39,66,6
2021-11-03,40 to 49,80,7
2021-11-03,50 to 59,90,11
2021-11-03,60 to 69,47,9
2021-11-03,70 to 79,34,4
2021-11-03,80 to 89,11,0
2021-11-03,90+,6,0
2021-11-03,Total,412,41
2021-11-05,0 to 9,14,0
2021-11-05,10 to 19,9,1
2021-11-05,20 to 29,58,3
2021-11-05,30 to 39,69,6
2021-11-05,40 to 49,83,7
2021-11-05,50 to 59,93,11
2021-11-05,60 to 69,48,9
2021-11-05,70 to 79,34,4
2021-11-05,80 to 89,11,0
2021-11-05,90+,6,0
2021-11-05,Total,425,41
2021-11-11,0 to 9,16,0
2021-11-11,10 to 19,9,1
2021-11-11,20 to 29,61,3
2021-11-11,30 to 39,75,6
2021-11-11,40 to 49,86,7
2021-11-11,50 to 59,103,12
2021-11-11,60 to 69,53,10
2021-11-11,70 to 79,34,4
2021-11-11,80 to 89,12,0
2021-11-11,90+,6,0
2021-11-11,Total,455,43
2021-11-15,0 to 9,17,0
2021-11-15,10 to 19,11,1
2021-11-15,20 to 29,68,3
2021-11-15,30 to 39,81,6
2021-11-15,40 to 49,88,7
2021-11-15,50 to 59,106,12
2021-11-15,60 to 69,54,10
2021-11-15,70 to 79,35,4
2021-11-15,80 to 89,12,0
2021-11-15,90+,7,0
2021-11-15,Total,479,43
2021-11-17,0 to 9,21,0
2021-11-17,10 to 19,12,1
2021-11-17,20 to 29,73,3
2021-11-17,30 to 39,84,6
2021-11-17,40 to 49,88,7
2021-11-17,50 to 59,108,12
2021-11-17,60 to 69,55,10
2021-11-17,70 to 79,38,4
2021-11-17,80 to 89,12,0
2021-11-17,90+,7,0
2021-11-17,Total,498,43
2021-11-18,0 to 9,21,0
2021-11-18,10 to 19,13,1
2021-11-18,20 to 29,75,3
2021-11-18,30 to 39,84,6
2021-11-18,40 to 49,88,7
2021-11-18,50 to 59,110,12
2021-11-18,60 to 69,55,10
2021-11-18,70 to 79,39,4
2021-11-18,80 to 89,12,0
2021-11-18,90+,7,0
2021-11-18,Total,504,43
2021-11-20,0 to 9,23,0
2021-11-20,10 to 19,13,1
2021-11-20,20 to 29,76,3
2021-11-20,30 to 39,87,6
2021-11-20,40 to 49,89,7
2021-11-20,50 to 59,110,12
2021-11-20,60 to 69,55,10
2021-11-20,70 to 79,39,4
2021-11-20,80 to 89,12,0
2021-11-20,90+,8,0
2021-11-20,Total,512,43
2021-11-21,0 to 9,24,0
2021-11-21,10 to 19,13,1
2021-11-21,20 to 29,77,3
2021-11-21,30 to 39,89,6
2021-11-21,40 to 49,89,7
2021-11-21,50 to 59,111,12
2021-11-21,60 to 69,56,10
2021-11-21,70 to 79,39,4
2021-11-21,80 to 89,12,0
2021-11-21,90+,8,0
2021-11-21,Total,518,43
2021-11-22,0 to 9,26,0
2021-11-22,10 to 19,13,1
2021-11-22,20 to 29,78,3
2021-11-22,30 to 39,90,6
2021-11-22,40 to 49,93,8
2021-11-22,50 to 59,111,12
2021-11-22,60 to 69,57,10
2021-11-22,70 to 79,39,4
2021-11-22,80 to 89,12,0
2021-11-22,90+,8,0
2021-11-22,Total,527,44
2021-11-23,0 to 9,28,0
2021-11-23,10 to 19,13,1
2021-11-23,20 to 29,78,3
2021-11-23,30 to 39,92,6
2021-11-23,40 to 49,94,8
2021-11-23,50 to 59,113,13
2021-11-23,60 to 69,57,10
2021-11-23,70 to 79,39,4
2021-11-23,80 to 89,12,0
2021-11-23,90+,8,0
2021-11-23,Total,534,45
2021-11-24,0 to 9,28,0
2021-11-24,10 to 19,13,1
2021-11-24,20 to 29,80,3
2021-11-24,30 to 39,94,6
2021-11-24,40 to 49,94,8
2021-11-24,50 to 59,115,13
2021-11-24,60 to 69,57,10
2021-11-24,70 to 79,40,4
2021-11-24,80 to 89,12,0
2021-11-24,90+,8,0
2021-11-24,Total,541,45
2021-11-25,0 to 9,28,0
2021-11-25,10 to 19,13,1
2021-11-25,20 to 29,82,3
2021-11-25,30 to 39,97,6
2021-11-25,40 to 49,94,8
2021-11-25,50 to 59,117,14
2021-11-25,60 to 69,57,10
2021-11-25,70 to 79,40,4
2021-11-25,80 to 89,12,0
2021-11-25,90+,8,0
2021-11-25,Total,548,46
2021-11-26,0 to 9,29,0
2021-11-26,10 to 19,14,1
2021-11-26,20 to 29,82,3
2021-11-26,30 to 39,99,6
2021-11-26,40 to 49,95,8
2021-11-26,50 to 59,119,15
2021-11-26,60 to 69,57,10
2021-11-26,70 to 79,40,4
2021-11-26,80 to 89,13,0
2021-11-26,90+,9,0
2021-11-26,Total,557,47
2021-11-27,0 to 9,29,0
2021-11-27,10 to 19,14,1
2021-11-27,20 to 29,82,3
2021-11-27,30 to 39,99,6
2021-11-27,40 to 49,96,8
2021-11-27,50 to 59,120,16
2021-11-27,60 to 69,58,11
2021-11-27,70 to 79,40,4
2021-11-27,80 to 89,13,0
2021-11-27,90+,9,0
2021-11-27,Total,560,49
2021-11-28,0 to 9,30,0
2021-11-28,10 to 19,14,1
2021-11-28,20 to 29,85,3
2021-11-28,30 to 39,99,6
2021-11-28,40 to 49,98,8
2021-11-28,50 to 59,124,16
2021-11-28,60 to 69,58,11
2021-11-28,70 to 79,40,4
2021-11-28,80 to 89,13,1
2021-11-28,90+,9,0
2021-11-28,Total,570,50
2021-11-29,0 to 9,34,0
2021-11-29,10 to 19,14,1
2021-11-29,20 to 29,88,3
2021-11-29,30 to 39,102,6
2021-11-29,40 to 49,99,8
2021-11-29,50 to 59,125,16
2021-11-29,60 to 69,58,11
2021-11-29,70 to 79,40,4
2021-11-29,80 to 89,13,1
2021-11-29,90+,9,0
2021-11-29,Total,582,50
2021-11-30,0 to 9,34,0
2021-11-30,10 to 19,14,1
2021-11-30,20 to 29,88,3
2021-11-30,30 to 39,102,6
2021-11-30,40 to 49,101,8
2021-11-30,50 to 59,125,16
2021-11-30,60 to 69,58,11
2021-11-30,70 to 79,40,4
2021-11-30,80 to 89,14,1
2021-11-30,90+,9,0
2021-11-30,Total,585,50
2021-12-01,0 to 9,35,0
2021-12-01,10 to 19,14,1
2021-12-01,20 to 29,88,3
2021-12-01,30 to 39,103,6
2021-12-01,40 to 49,101,8
2021-12-01,50 to 59,125,16
2021-12-01,60 to 69,58,11
2021-12-01,70 to 79,41,4
2021-12-01,80 to 89,14,1
2021-12-01,90+,9,0
2021-12-01,Total,588,50
2021-12-02,0 to 9,37,0
2021-12-02,10 to 19,14,1
2021-12-02,20 to 29,89,3
2021-12-02,30 to 39,106,6
2021-12-02,40 to 49,102,8
2021-12-02,50 to 59,127,16
2021-12-02,60 to 69,58,11
2021-12-02,70 to 79,41,4
2021-12-02,80 to 89,14,1
2021-12-02,90+,9,0
2021-12-02,Total,597,50
2021-12-03,0 to 9,37,0
2021-12-03,10 to 19,14,1
2021-12-03,20 to 29,90,3
2021-12-03,30 to 39,106,6
2021-12-03,40 to 49,103,8
2021-12-03,50 to 59,128,16
2021-12-03,60 to 69,58,11
2021-12-03,70 to 79,41,4
2021-12-03,80 to 89,14,1
2021-12-03,90+,9,0
2021-12-03,Total,600,50
2021-12-04,0 to 9,36,0
2021-12-04,10 to 19,14,1
2021-12-04,20 to 29,90,4
2021-12-04,30 to 39,107,6
2021-12-04,40 to 49,103,8
2021-12-04,50 to 59,129,16
2021-12-04,60 to 69,58,11
2021-12-04,70 to 79,41,4
2021-12-04,80 to 89,14,1
2021-12-04,90+,9,0
2021-12-04,Total,601,51
2021-12-05,0 to 9,36,0
2021-12-05,10 to 19,14,1
2021-12-05,20 to 29,90,4
2021-12-05,30 to 39,110,6
2021-12-05,40 to 49,103,8
2021-12-05,50 to 59,129,16
2021-12-05,60 to 69,59,11
2021-12-05,70 to 79,41,4
2021-12-05,80 to 89,14,1
2021-12-05,90+,9,0
2021-12-05,Total,605,51
2021-12-06,0 to 9,36,0
2021-12-06,10 to 19,14,1
2021-12-06,20 to 29,91,4
2021-12-06,30 to 39,111,6
2021-12-06,40 to 49,106,8
2021-12-06,50 to 59,131,16
2021-12-06,60 to 69,61,11
2021-12-06,70 to 79,42,4
2021-12-06,80 to 89,14,1
2021-12-06,90+,9,0
2021-12-06,Total,615,51
2021-12-07,0 to 9,36,0
2021-12-07,10 to 19,16,1
2021-12-07,20 to 29,92,4
2021-12-07,30 to 39,112,6
2021-12-07,40 to 49,108,8
2021-12-07,50 to 59,132,16
2021-12-07,60 to 69,61,11
2021-12-07,70 to 79,42,4
2021-12-07,80 to 89,14,1
2021-12-07,90+,9,0
2021-12-07,Total,622,51
2021-12-08,0 to 9,36,0
2021-12-08,10 to 19,16,1
2021-12-08,20 to 29,92,4
2021-12-08,30 to 39,113,6
2021-12-08,40 to 49,109,8
2021-12-08,50 to 59,134,16
2021-12-08,60 to 69,61,11
2021-12-08,70 to 79,43,4
2021-12-08,80 to 89,14,1
2021-12-08,90+,9,0
2021-12-08,Total,627,51
2021-12-09,0 to 9,36,0
2021-12-09,10 to 19,16,1
2021-12-09,20 to 29,92,4
2021-12-09,30 to 39,114,6
2021-12-09,40 to 49,109,8
2021-12-09,50 to 59,134,16
2021-12-09,60 to 69,62,11
2021-12-09,70 to 79,43,4
2021-12-09,80 to 89,14,1
2021-12-09,90+,9,0
2021-12-09,Total,629,51
2021-12-10,0 to 9,36,0
2021-12-10,10 to 19,16,1
2021-12-10,20 to 29,92,4
2021-12-10,30 to 39,115,6
2021-12-10,40 to 49,109,8
2021-12-10,50 to 59,134,16
2021-12-10,60 to 69,62,11
2021-12-10,70 to 79,43,4
2021-12-10,80 to 89,14,1
2021-12-10,90+,9,0
2021-12-10,Total,630,51
2021-12-11,0 to 9,36,0
2021-12-11,10 to 19,16,1
2021-12-11,20 to 29,92,4
2021-12-11,30 to 39,115,7
2021-12-11,40 to 49,109,8
2021-12-11,50 to 59,134,16
2021-12-11,60 to 69,62,11
2021-12-11,70 to 79,44,4
2021-12-11,80 to 89,14,1
2021-12-11,90+,9,0
2021-12-11,Total,631,52
2021-12-12,0 to 9,36,0
2021-12-12,10 to 19,16,1
2021-12-12,20 to 29,92,4
2021-12-12,30 to 39,115,7
2021-12-12,40 to 49,109,8
2021-12-12,50 to 59,134,16
2021-12-12,60 to 69,63,11
2021-12-12,70 to 79,44,4
2021-12-12,80 to 89,14,1
2021-12-12,90+,9,0
2021-12-12,Total,632,52
2021-12-13,0 to 9,36,0
2021-12-13,10 to 19,17,1
2021-12-13,20 to 29,92,4
2021-12-13,30 to 39,116,7
2021-12-13,40 to 49,110,8
2021-12-13,50 to 59,134,16
2021-12-13,60 to 69,63,11
2021-12-13,70 to 79,44,4
2021-12-13,80 to 89,14,1
2021-12-13,90+,9,0
2021-12-13,Total,635,52
2021-12-14,0 to 9,36,0
2021-12-14,10 to 19,17,1
2021-12-14,20 to 29,93,4
2021-12-14,30 to 39,117,8
2021-12-14,40 to 49,110,8
2021-12-14,50 to 59,135,16
2021-12-14,60 to 69,63,11
2021-12-14,70 to 79,44,4
2021-12-14,80 to 89,14,1
2021-12-14,90+,9,0
2021-12-14,Total,638,53
2021-12-15,0 to 9,36,0
2021-12-15,10 to 19,19,1
2021-12-15,20 to 29,96,4
2021-12-15,30 to 39,120,8
2021-12-15,40 to 49,110,8
2021-12-15,50 to 59,136,17
2021-12-15,60 to 69,63,11
2021-12-15,70 to 79,44,4
2021-12-15,80 to 89,15,1
2021-12-15,90+,9,0
2021-12-15,Total,648,54
2021-12-16,0 to 9,37,0
2021-12-16,10 to 19,19,1
2021-12-16,20 to 29,97,4
2021-12-16,30 to 39,120,8
2021-12-16,40 to 49,111,8
2021-12-16,50 to 59,137,17
2021-12-16,60 to 69,64,11
2021-12-16,70 to 79,44,4
2021-12-16,80 to 89,18,1
2021-12-16,90+,9,0
2021-12-16,Total,656,54
2021-12-17,0 to 9,39,0
2021-12-17,10 to 19,19,1
2021-12-17,20 to 29,97,4
2021-12-17,30 to 39,120,8
2021-12-17,40 to 49,112,8
2021-12-17,50 to 59,137,17
2021-12-17,60 to 69,64,11
2021-12-17,70 to 79,44,4
2021-12-17,80 to 89,18,1
2021-12-17,90+,9,0
2021-12-17,Total,659,54
2021-12-18,0 to 9,39,0
2021-12-18,10 to 19,19,1
2021-12-18,20 to 29,97,4
2021-12-18,30 to 39,121,8
2021-12-18,40 to 49,112,8
2021-12-18,50 to 59,137,17
2021-12-18,60 to 69,64,11
2021-12-18,70 to 79,44,4
2021-12-18,80 to 89,18,1
2021-12-18,90+,9,0
2021-12-18,Total,660,54
2021-12-18,0 to 9,39,0
2021-12-18,10 to 19,19,1
2021-12-18,20 to 29,97,4
2021-12-18,30 to 39,121,8
2021-12-18,40 to 49,113,8
2021-12-18,50 to 59,137,17
2021-12-18,60 to 69,64,11
2021-12-18,70 to 79,44,4
2021-12-18,80 to 89,18,1
2021-12-18,90+,9,0
2021-12-18,Total,661,54
2021-12-19,0 to 9,39,0
2021-12-19,10 to 19,19,1
2021-12-19,20 to 29,97,4
2021-12-19,30 to 39,121,8
2021-12-19,40 to 49,113,8
2021-12-19,50 to 59,137,17
2021-12-19,60 to 69,64,11
2021-12-19,70 to 79,44,4
2021-12-19,80 to 89,18,1
2021-12-19,90+,9,0
2021-12-19,Total,661,54
2021-12-19,0 to 9,39,0
2021-12-19,10 to 19,21,1
2021-12-19,20 to 29,97,4
2021-12-19,30 to 39,121,8
2021-12-19,40 to 49,114,8
2021-12-19,50 to 59,137,17
2021-12-19,60 to 69,64,11
2021-12-19,70 to 79,44,4
2021-12-19,80 to 89,19,1
2021-12-19,90+,9,0
2021-12-19,Total,665,54
2021-12-20,0 to 9,39,0
2021-12-20,10 to 19,21,1
2021-12-20,20 to 29,98,4
2021-12-20,30 to 39,122,8
2021-12-20,40 to 49,114,8
2021-12-20,50 to 59,138,17
2021-12-20,60 to 69,67,11
2021-12-20,70 to 79,44,4
2021-12-20,80 to 89,19,1
2021-12-20,90+,9,0
2021-12-20,Total,672,54
2021-12-21,0 to 9,39,0
2021-12-21,10 to 19,21,1
2021-12-21,20 to 29,98,4
2021-12-21,30 to 39,123,8
2021-12-21,40 to 49,115,8
2021-12-21,50 to 59,139,17
2021-12-21,60 to 69,67,11
2021-12-21,70 to 79,44,4
2021-12-21,80 to 89,19,1
2021-12-21,90+,9,0
2021-12-21,Total,675,54
2021-12-22,0 to 9,41,0
2021-12-22,10 to 19,21,1
2021-12-22,20 to 29,101,4
2021-12-22,30 to 39,124,8
2021-12-22,40 to 49,116,8
2021-12-22,50 to 59,140,18
2021-12-22,60 to 69,68,11
2021-12-22,70 to 79,44,4
2021-12-22,80 to 89,19,1
2021-12-22,90+,9,0
2021-12-22,Total,683,55
2021-12-23,0 to 9,41,0
2021-12-23,10 to 19,21,1
2021-12-23,20 to 29,102,4
2021-12-23,30 to 39,124,8
2021-12-23,40 to 49,116,8
2021-12-23,50 to 59,141,18
2021-12-23,60 to 69,68,11
2021-12-23,70 to 79,44,4
2021-12-23,80 to 89,19,1
2021-12-23,90+,9,0
2021-12-23,Total,685,55
2021-12-25,0 to 9,43,0
2021-12-25,10 to 19,21,1
2021-12-25,20 to 29,104,4
2021-12-25,30 to 39,128,9
2021-12-25,40 to 49,117,8
2021-12-25,50 to 59,142,19
2021-12-25,60 to 69,68,11
2021-12-25,70 to 79,44,4
2021-12-25,80 to 89,19,1
2021-12-25,90+,9,0
2021-12-25,Total,695,57
2021-12-26,0 to 9,43,0
2021-12-26,10 to 19,21,1
2021-12-26,20 to 29,105,4
2021-12-26,30 to 39,130,9
2021-12-26,40 to 49,118,8
2021-12-26,50 to 59,143,19
2021-12-26,60 to 69,68,11
2021-12-26,70 to 79,44,4
2021-12-26,80 to 89,19,1
2021-12-26,90+,9,0
2021-12-26,Total,700,57
2021-12-27,0 to 9,43,0
2021-12-27,10 to 19,21,1
2021-12-27,20 to 29,105,4
2021-12-27,30 to 39,130,9
2021-12-27,40 to 49,119,8
2021-12-27,50 to 59,142,19
2021-12-27,60 to 69,68,11
2021-12-27,70 to 79,44,4
2021-12-27,80 to 89,19,1
2021-12-27,90+,9,0
2021-12-27,Total,700,57
2021-12-28,0 to 9,43,0
2021-12-28,10 to 19,21,1
2021-12-28,20 to 29,106,4
2021-12-28,30 to 39,130,9
2021-12-28,40 to 49,119,8
2021-12-28,50 to 59,142,19
2021-12-28,60 to 69,67,11
2021-12-28,70 to 79,45,4
2021-12-28,80 to 89,19,1
2021-12-28,90+,9,0
2021-12-28,Total,701,57
2021-12-29,0 to 9,44,0
2021-12-29,10 to 19,21,1
2021-12-29,20 to 29,107,4
2021-12-29,30 to 39,131,9
2021-12-29,40 to 49,120,8
2021-12-29,50 to 59,142,19
2021-12-29,60 to 69,68,11
2021-12-29,70 to 79,44,4
2021-12-29,80 to 89,19,1
2021-12-29,90+,9,0
2021-12-29,Total,705,57
2021-12-30,0 to 9,44,0
2021-12-30,10 to 19,21,1
2021-12-30,20 to 29,108,4
2021-12-30,30 to 39,132,9
2021-12-30,40 to 49,120,8
2021-12-30,50 to 59,143,19
2021-12-30,60 to 69,69,11
2021-12-30,70 to 79,44,4
2021-12-30,80 to 89,20,1
2021-12-30,90+,9,0
2021-12-30,Total,710,57
2022-01-01,0 to 9,44,0
2022-01-01,10 to 19,21,1
2022-01-01,20 to 29,109,4
2022-01-01,30 to 39,133,9
2022-01-01,40 to 49,121,8
2022-01-01,50 to 59,144,19
2022-01-01,60 to 69,69,11
2022-01-01,70 to 79,44,4
2022-01-01,80 to 89,20,1
2022-01-01,90+,9,0
2022-01-01,Total,714,57
2022-01-02,0 to 9,44,0
2022-01-02,10 to 19,21,1
2022-01-02,20 to 29,109,4
2022-01-02,30 to 39,134,9
2022-01-02,40 to 49,121,8
2022-01-02,50 to 59,144,19
2022-01-02,60 to 69,69,11
2022-01-02,70 to 79,44,4
2022-01-02,80 to 89,21,1
2022-01-02,90+,9,0
2022-01-02,Total,716,57
2022-01-03,0 to 9,44,0
2022-01-03,10 to 19,22,1
2022-01-03,20 to 29,110,4
2022-01-03,30 to 39,135,9
2022-01-03,40 to 49,122,8
2022-01-03,50 to 59,143,19
2022-01-03,60 to 69,69,11
2022-01-03,70 to 79,44,4
2022-01-03,80 to 89,21,1
2022-01-03,90+,9,0
2022-01-03,Total,719,57
2022-01-04,0 to 9,44,0
2022-01-04,10 to 19,22,1
2022-01-04,20 to 29,110,4
2022-01-04,30 to 39,135,9
2022-01-04,40 to 49,122,8
2022-01-04,50 to 59,145,20
2022-01-04,60 to 69,69,11
2022-01-04,70 to 79,44,4
2022-01-04,80 to 89,21,1
2022-01-04,90+,9,0
2022-01-04,Total,721,58
2022-01-05,0 to 9,44,0
2022-01-05,10 to 19,22,1
2022-01-05,20 to 29,110,4
2022-01-05,30 to 39,135,9
2022-01-05,40 to 49,122,8
2022-01-05,50 to 59,147,20
2022-01-05,60 to 69,69,11
2022-01-05,70 to 79,44,4
2022-01-05,80 to 89,21,1
2022-01-05,90+,9,0
2022-01-05,Total,723,58
2022-01-06,0 to 9,45,0
2022-01-06,10 to 19,23,1
2022-01-06,20 to 29,111,4
2022-01-06,30 to 39,135,9
2022-01-06,40 to 49,124,8
2022-01-06,50 to 59,147,20
2022-01-06,60 to 69,70,11
2022-01-06,70 to 79,44,4
2022-01-06,80 to 89,21,1
2022-01-06,90+,9,0
2022-01-06,Total,729,58
2022-01-08,0 to 9,45,0
2022-01-08,10 to 19,23,1
2022-01-08,20 to 29,111,4
2022-01-08,30 to 39,135,9
2022-01-08,40 to 49,124,8
2022-01-08,50 to 59,147,20
2022-01-08,60 to 69,70,11
2022-01-08,70 to 79,44,4
2022-01-08,80 to 89,21,1
2022-01-08,90+,9,0
2022-01-08,Total,729,58
2022-01-09,0 to 9,45,0
2022-01-09,10 to 19,23,1
2022-01-09,20 to 29,111,4
2022-01-09,30 to 39,135,9
2022-01-09,40 to 49,125,8
2022-01-09,50 to 59,147,20
2022-01-09,60 to 69,70,11
2022-01-09,70 to 79,44,4
2022-01-09,80 to 89,21,1
2022-01-09,90+,9,0
2022-01-09,Total,730,58
2022-01-10,0 to 9,45,0
2022-01-10,10 to 19,23,1
2022-01-10,20 to 29,111,4
2022-01-10,30 to 39,135,9
2022-01-10,40 to 49,127,8
2022-01-10,50 to 59,147,20
2022-01-10,60 to 69,70,11
2022-01-10,70 to 79,44,4
2022-01-10,80 to 89,21,1
2022-01-10,90+,9,0
2022-01-10,Total,732,58
2022-01-11,0 to 9,45,0
2022-01-11,10 to 19,23,1
2022-01-11,20 to 29,112,4
2022-01-11,30 to 39,137,12
2022-01-11,40 to 49,127,8
2022-01-11,50 to 59,147,20
2022-01-11,60 to 69,71,12
2022-01-11,70 to 79,44,4
2022-01-11,80 to 89,21,2
2022-01-11,90+,9,0
2022-01-11,Total,736,63
2022-01-12,0 to 9,45,0
2022-01-12,10 to 19,23,1
2022-01-12,20 to 29,112,4
2022-01-12,30 to 39,137,12
2022-01-12,40 to 49,127,8
2022-01-12,50 to 59,147,20
2022-01-12,60 to 69,71,12
2022-01-12,70 to 79,44,4
2022-01-12,80 to 89,21,2
2022-01-12,90+,9,0
2022-01-12,Total,736,63
2022-01-13,0 to 9,45,0
2022-01-13,10 to 19,23,1
2022-01-13,20 to 29,113,4
2022-01-13,30 to 39,138,12
2022-01-13,40 to 49,128,8
2022-01-13,50 to 59,147,20
2022-01-13,60 to 69,72,12
2022-01-13,70 to 79,44,4
