date,sex,total_cases,total_cases_hospitalised
2021-11-11,Unknown,7,0
2021-11-11,Total,4998,315
2021-11-15,Female,2850,169
2021-11-15,Male,2887,169
2021-11-15,Unknown,14,1
2021-11-15,Total,5751,339
2021-11-17,Female,3074,180
2021-11-17,Male,3078,177
2021-11-17,Unknown,15,1
2021-11-17,Total,6167,358
2021-11-18,Female,3157,183
2021-11-18,Male,3160,180
2021-11-18,Unknown,17,1
2021-11-18,Total,6334,364
2021-11-20,Female,3347,188
2021-11-20,Male,3335,184
2021-11-20,Unknown,19,0
2021-11-20,Total,6701,372
2021-11-21,Female,3422,191
2021-11-21,Male,3408,187
2021-11-21,Unknown,20,0
2021-11-21,Total,6850,378
2021-11-22,Female,3532,194
2021-11-22,Male,3502,193
2021-11-22,Unknown,20,0
2021-11-22,Total,7054,387
2021-11-23,Female,3630,197
2021-11-23,Male,3614,197
2021-11-23,Unknown,24,0
2021-11-23,Total,7268,394
2021-11-24,Female,3751,203
2021-11-24,Male,3709,198
2021-11-24,Unknown,24,0
2021-11-24,Total,7484,401
2021-11-25,Female,3854,208
2021-11-25,Male,3785,200
2021-11-25,Unknown,21,0
2021-11-25,Total,7660,408
2021-11-26,Female,3938,212
2021-11-26,Male,3872,205
2021-11-26,Unknown,22,0
2021-11-26,Total,7832,417
2021-11-27,Female,4000,213
2021-11-27,Male,3952,207
2021-11-27,Unknown,23,0
2021-11-27,Total,7975,420
2021-11-28,Female,4060,217
2021-11-28,Male,4035,213
2021-11-28,Unknown,23,0
2021-11-28,Total,8118,430
2021-11-29,Female,4149,223
2021-11-29,Male,4127,219
2021-11-29,Unknown,22,0
2021-11-29,Total,8298,442
2021-11-30,Female,4224,225
2021-11-30,Male,4184,220
2021-11-30,Unknown,23,0
2021-11-30,Total,8431,445
2021-12-01,Female,4293,226
2021-12-01,Male,4258,222
2021-12-01,Unknown,23,0
2021-12-01,Total,8574,448
2021-12-02,Female,4369,228
2021-12-02,Male,4352,229
2021-12-02,Unknown,24,0
2021-12-02,Total,8745,457
2021-12-03,Female,4416,228
2021-12-03,Male,4395,232
2021-12-03,Unknown,25,0
2021-12-03,Total,8836,460
2021-12-04,Female,4460,228
2021-12-04,Male,4446,233
2021-12-04,Unknown,25,0
2021-12-04,Total,8931,461
2021-12-05,Female,4510,231
2021-12-05,Male,4502,234
2021-12-05,Unknown,25,0
2021-12-05,Total,9037,465
2021-12-06,Female,4573,234
2021-12-06,Male,4573,241
2021-12-06,Unknown,25,0
2021-12-06,Total,9171,475
2021-12-07,Female,4616,238
2021-12-07,Male,4626,244
2021-12-07,Unknown,25,0
2021-12-07,Total,9267,482
2021-12-08,Female,4666,241
2021-12-08,Male,4663,246
2021-12-08,Unknown,25,0
2021-12-08,Total,9354,487
2021-12-09,Female,4714,242
2021-12-09,Male,4717,247
2021-12-09,Unknown,26,0
2021-12-09,Total,9457,489
2021-12-10,Female,4764,243
2021-12-10,Male,4762,247
2021-12-10,Unknown,26,0
2021-12-10,Total,9552,490
2021-12-11,Female,4795,244
2021-12-11,Male,4792,247
2021-12-11,Unknown,26,0
2021-12-11,Total,9613,491
2021-12-12,Female,4845,245
2021-12-12,Male,4843,247
2021-12-12,Unknown,26,0
2021-12-12,Total,9714,492
2021-12-13,Female,4891,246
2021-12-13,Male,4898,249
2021-12-13,Unknown,25,0
2021-12-13,Total,9814,495
2021-12-14,Female,4924,248
2021-12-14,Male,4942,250
2021-12-14,Unknown,24,0
2021-12-14,Total,9890,498
2021-12-15,Female,4955,254
2021-12-15,Male,4984,254
2021-12-15,Unknown,24,0
2021-12-15,Total,9963,508
2021-12-16,Female,4992,255
2021-12-16,Male,5027,261
2021-12-16,Unknown,35,0
2021-12-16,Total,10054,516
2021-12-17,Female,5037,257
2021-12-17,Male,5064,262
2021-12-17,Unknown,28,0
2021-12-17,Total,10129,519
2021-12-18,Female,5055,257
2021-12-18,Male,5085,263
2021-12-18,Unknown,28,0
2021-12-18,Total,10168,520
2021-12-18,Female,5081,258
2021-12-18,Male,5109,263
2021-12-18,Unknown,30,0
2021-12-18,Total,10220,521
2021-12-19,Female,5081,258
2021-12-19,Male,5109,263
2021-12-19,Unknown,30,0
2021-12-19,Total,10220,521
2021-12-19,Female,5118,259
2021-12-19,Male,5141,266
2021-12-19,Unknown,30,0
2021-12-19,Total,10289,525
2021-12-20,Female,5129,262
2021-12-20,Male,5161,269
2021-12-20,Unknown,30,0
2021-12-20,Total,10320,531
2021-12-21,Female,5160,265
2021-12-21,Male,5186,269
2021-12-21,Unknown,29,0
2021-12-21,Total,10375,534
2021-12-22,Female,5194,269
2021-12-22,Male,5210,273
2021-12-22,Unknown,26,0
2021-12-22,Total,10430,542
2021-12-23,Female,5222,272
2021-12-23,Male,5243,272
2021-12-23,Unknown,26,0
2021-12-23,Total,10491,544
2021-12-25,Female,5286,278
2021-12-25,Male,5305,276
2021-12-25,Unknown,26,0
2021-12-25,Total,10617,554
2021-12-26,Female,5302,281
2021-12-26,Male,5323,278
2021-12-26,Unknown,26,0
2021-12-26,Total,10651,559
2021-12-27,Female,5312,281
2021-12-27,Male,5330,278
2021-12-27,Unknown,26,0
2021-12-27,Total,10668,559
2021-12-28,Female,5337,282
2021-12-28,Male,5353,278
2021-12-28,Unknown,26,0
2021-12-28,Total,10716,560
2021-12-29,Female,5368,284
2021-12-29,Male,5381,280
2021-12-29,Unknown,27,0
2021-12-29,Total,10776,564
2021-12-30,Female,5392,287
2021-12-30,Male,5405,282
2021-12-30,Unknown,28,0
2021-12-30,Total,10825,569
2022-01-01,Female,5444,289
2022-01-01,Male,5457,284
2022-01-01,Unknown,27,0
2022-01-01,Total,10928,573
2022-01-02,Female,5454,291
2022-01-02,Male,5474,284
2022-01-02,Unknown,27,0
2022-01-02,Total,10955,575
2022-01-03,Female,5468,292
2022-01-03,Male,5491,286
2022-01-03,Unknown,27,0
2022-01-03,Total,10986,578
2022-01-04,Female,5475,292
2022-01-04,Male,5501,288
2022-01-04,Unknown,27,0
2022-01-04,Total,11003,580
2022-01-05,Female,5486,292
2022-01-05,Male,5508,290
2022-01-05,Unknown,28,0
2022-01-05,Total,11022,582
2022-01-06,Female,5501,294
2022-01-06,Male,5528,294
2022-01-06,Unknown,28,0
2022-01-06,Total,11057,588
2022-01-08,Female,5536,294
2022-01-08,Male,5578,294
2022-01-08,Unknown,28,0
2022-01-08,Total,11142,588
2022-01-09,Female,5548,294
2022-01-09,Male,5593,295
2022-01-09,Unknown,28,0
2022-01-09,Total,11169,589
2022-01-10,Female,5557,296
2022-01-10,Male,5598,295
2022-01-10,Unknown,28,0
2022-01-10,Total,11183,591
2022-01-11,Female,5566,297
2022-01-11,Male,5616,297
2022-01-11,Unknown,28,0
2022-01-11,Total,11210,594
2022-01-12,Female,5584,297
2022-01-12,Male,5624,297
2022-01-12,Unknown,28,0
2022-01-12,Total,11236,594
2022-01-13,Female,5593,299
2022-01-13,Male,5633,299
2022-01-13,Unknown,28,0
2022-01-13,Total,11254,598
2022-01-14,Female,5612,299
2022-01-14,Male,5643,300
2022-01-14,Unknown,26,0
2022-01-14,Total,11281,599
2022-01-15,Female,5626,298
2022-01-15,Male,5654,301
2022-01-15,Unknown,26,0
2022-01-15,Total,11306,599
2022-01-16,Female,5634,298
2022-01-16,Male,5661,302
2022-01-16,Unknown,27,0
2022-01-16,Total,11322,600
2022-01-17,Female,5642,299
2022-01-17,Male,5668,304
2022-01-17,Unknown,27,0
2022-01-17,Total,11337,603
2022-01-18,Female,5652,299
2022-01-18,Male,5680,306
2022-01-18,Unknown,28,0
2022-01-18,Total,11360,605
2022-01-19,Female,5673,302
2022-01-19,Male,5698,308
2022-01-19,Unknown,28,0
2022-01-19,Total,11399,610
2022-01-20,Female,5687,302
2022-01-20,Male,5708,308
2022-01-20,Unknown,28,0
2022-01-20,Total,11423,610
2022-01-21,Female,5706,303
2022-01-21,Male,5732,309
2022-01-21,Unknown,28,0
2022-01-21,Total,11466,612
2022-01-22,Female,5721,303
2022-01-22,Male,5741,309
2022-01-22,Unknown,28,0
2022-01-22,Total,11490,612
2022-01-23,Female,5734,303
2022-01-23,Male,5753,309
2022-01-23,Unknown,28,0
2022-01-23,Total,11515,612
2022-01-24,Female,5750,306
2022-01-24,Male,5763,309
2022-01-24,Unknown,28,0
2022-01-24,Total,11541,615
2022-01-25,Female,5763,306
2022-01-25,Male,5773,311
2022-01-25,Unknown,28,0
2022-01-25,Total,11564,617
2022-01-26,Female,5791,306
2022-01-26,Male,5791,311
2022-01-26,Unknown,28,0
2022-01-26,Total,11610,617
2022-01-27,Female,5838,305
2022-01-27,Male,5845,311
2022-01-27,Unknown,30,0
2022-01-27,Total,11713,616
2022-01-28,Female,5880,307
2022-01-28,Male,5900,311
2022-01-28,Unknown,31,0
2022-01-28,Total,11811,618
2022-01-29,Female,5937,307
2022-01-29,Male,5944,311
2022-01-29,Unknown,33,0
2022-01-29,Total,11914,618
2022-01-30,Female,5986,307
2022-01-30,Male,5984,312
2022-01-30,Unknown,35,0
2022-01-30,Total,12005,619
2022-01-31,Female,6046,309
2022-01-31,Male,6050,312
2022-01-31,Unknown,35,0
2022-01-31,Total,12131,621
2022-02-01,Female,6118,309
2022-02-01,Male,6123,312
2022-02-01,Unknown,33,0
2022-02-01,Total,12274,621
2022-02-02,Female,6207,312
2022-02-02,Male,6183,312
2022-02-02,Unknown,31,0
2022-02-02,Total,12421,624
2022-02-03,Female,6308,312
2022-02-03,Male,6289,313
2022-02-03,Unknown,33,0
2022-02-03,Total,12630,625
2022-02-04,Female,6434,313
2022-02-04,Male,6402,315
2022-02-04,Unknown,34,0
2022-02-04,Total,12870,628
2022-02-05,Female,6543,316
2022-02-05,Male,6499,315
2022-02-05,Unknown,36,0
2022-02-05,Total,13078,631
2022-02-06,Female,6633,317
2022-02-06,Male,6596,316
2022-02-06,Unknown,37,0
2022-02-06,Total,13266,633
2022-02-07,Female,6742,318
2022-02-07,Male,6692,316
2022-02-07,Unknown,34,0
2022-02-07,Total,13468,634
2022-02-08,Female,6840,319
2022-02-08,Male,6797,317
2022-02-08,Unknown,34,0
2022-02-08,Total,13671,636
2022-02-09,Female,6988,322
2022-02-09,Male,6952,318
2022-02-09,Unknown,37,0
2022-02-09,Total,13977,640
2022-02-10,Female,7230,325
2022-02-10,Male,7151,320
2022-02-10,Unknown,40,0
2022-02-10,Total,14421,645
2022-02-11,Female,7470,327
2022-02-11,Male,7363,322
2022-02-11,Unknown,41,0
2022-02-11,Total,14874,649
2022-02-13,Female,8364,336
2022-02-13,Male,8217,325
2022-02-13,Unknown,34,0
2022-02-13,Total,16615,661
2022-02-14,Female,8729,337
2022-02-14,Male,8588,327
2022-02-14,Unknown,37,0
2022-02-14,Total,17354,664
2022-02-15,Female,9291,340
2022-02-15,Male,9175,328
2022-02-15,Unknown,42,0
2022-02-15,Total,18508,668
2022-02-16,Female,10027,343
2022-02-16,Male,9977,329
2022-02-16,Unknown,43,0
2022-02-16,Total,20047,672
2022-02-17,Female,10943,348
2022-02-17,Male,10951,335
2022-02-17,Unknown,50,0
2022-02-17,Total,21944,683
2022-02-18,Female,11816,348
2022-02-18,Male,11879,335
2022-02-18,Unknown,53,0
2022-02-18,Total,23748,683
2022-02-19,Female,12985,352
2022-02-19,Male,13016,341
2022-02-19,Unknown,60,0
2022-02-19,Total,26061,693
2022-02-20,Female,14126,356
2022-02-20,Male,14088,342
2022-02-20,Unknown,64,0
2022-02-20,Total,28278,698
2022-02-21,Female,15587,366
2022-02-21,Male,15450,349
2022-02-21,Unknown,71,0
2022-02-21,Total,31108,715
2022-02-22,Female,17204,510
2022-02-22,Male,16999,445
2022-02-22,Unknown,83,0
2022-02-22,Total,34286,955
2022-02-23,Female,20486,542
2022-02-23,Male,19829,467
2022-02-23,Unknown,91,0
2022-02-23,Total,40406,1009
2022-02-24,Female,26671,576
2022-02-24,Male,25620,497
2022-02-24,Unknown,110,0
2022-02-24,Total,52401,1073
2022-02-25,Female,33876,595
