date,age_group,active,recovered,deceased,total
2022-01-01,50 to 59,105,1261,8,1374
2022-01-01,60 to 69,53,626,7,686
2022-01-01,70 to 79,25,229,10,264
2022-01-01,80 to 89,8,67,12,87
2022-01-01,90+,2,10,8,20
2022-01-01,Unknown,1,2,0,3
2022-01-01,Total,1160,13044,51,14255
2022-01-02,0 to 9,270,2149,1,2420
2022-01-02,10 to 19,155,1998,0,2153
2022-01-02,20 to 29,216,2863,0,3079
2022-01-02,30 to 39,182,2374,1,2557
2022-01-02,40 to 49,122,1524,4,1650
2022-01-02,50 to 59,103,1271,8,1382
2022-01-02,60 to 69,52,628,7,687
2022-01-02,70 to 79,25,230,10,265
2022-01-02,80 to 89,10,68,12,90
2022-01-02,90+,2,10,8,20
2022-01-02,Unknown,1,2,0,3
2022-01-02,Total,1138,13117,51,14306
2022-01-03,0 to 9,264,2165,1,2430
2022-01-03,10 to 19,156,2004,0,2160
2022-01-03,20 to 29,215,2871,0,3086
2022-01-03,30 to 39,184,2387,1,2572
2022-01-03,40 to 49,127,1528,4,1659
2022-01-03,50 to 59,109,1274,8,1391
2022-01-03,60 to 69,50,632,7,689
2022-01-03,70 to 79,25,230,10,265
2022-01-03,80 to 89,10,68,12,90
2022-01-03,90+,2,10,8,20
2022-01-03,Unknown,1,2,0,3
2022-01-03,Total,1143,13171,51,14365
2022-01-04,0 to 9,258,2178,1,2437
2022-01-04,10 to 19,147,2019,0,2166
2022-01-04,20 to 29,203,2888,0,3091
2022-01-04,30 to 39,182,2399,1,2582
2022-01-04,40 to 49,124,1537,4,1665
2022-01-04,50 to 59,102,1283,8,1393
2022-01-04,60 to 69,51,634,7,692
2022-01-04,70 to 79,22,234,10,266
2022-01-04,80 to 89,10,68,12,90
2022-01-04,90+,2,10,8,20
2022-01-04,Unknown,1,2,0,3
2022-01-04,Total,1102,13252,51,14405
2022-01-05,0 to 9,237,2203,1,2441
2022-01-05,10 to 19,140,2030,0,2170
2022-01-05,20 to 29,205,2901,0,3106
2022-01-05,30 to 39,194,2412,1,2607
2022-01-05,40 to 49,120,1545,4,1669
2022-01-05,50 to 59,103,1290,8,1401
2022-01-05,60 to 69,48,639,7,694
2022-01-05,70 to 79,22,234,10,266
2022-01-05,80 to 89,9,69,12,90
2022-01-05,90+,2,10,8,20
2022-01-05,Unknown,1,2,0,3
2022-01-05,Total,1081,13335,51,14467
2022-01-06,0 to 9,227,2224,1,2452
2022-01-06,10 to 19,143,2036,0,2179
2022-01-06,20 to 29,196,2923,0,3119
2022-01-06,30 to 39,194,2422,1,2617
2022-01-06,40 to 49,119,1549,4,1672
2022-01-06,50 to 59,107,1294,8,1409
2022-01-06,60 to 69,48,641,7,696
2022-01-06,70 to 79,23,235,10,268
2022-01-06,80 to 89,8,70,12,90
2022-01-06,90+,2,10,8,20
2022-01-06,Unknown,1,2,0,3
2022-01-06,Total,1068,13406,51,14525
2022-01-08,0 to 9,229,2246,1,2476
2022-01-08,10 to 19,140,2052,0,2192
2022-01-08,20 to 29,204,2951,0,3155
2022-01-08,30 to 39,206,2441,1,2648
2022-01-08,40 to 49,121,1566,4,1691
2022-01-08,50 to 59,99,1314,8,1421
2022-01-08,60 to 69,55,645,7,707
2022-01-08,70 to 79,21,237,10,268
2022-01-08,80 to 89,8,71,12,91
2022-01-08,90+,2,10,8,20
2022-01-08,Unknown,2,2,0,4
2022-01-08,Total,1087,13535,51,14673
2022-01-09,0 to 9,221,2262,1,2484
2022-01-09,10 to 19,138,2060,0,2198
2022-01-09,20 to 29,199,2969,0,3168
2022-01-09,30 to 39,214,2450,1,2665
2022-01-09,40 to 49,117,1576,4,1697
2022-01-09,50 to 59,96,1321,8,1425
2022-01-09,60 to 69,57,649,7,713
2022-01-09,70 to 79,19,239,10,268
2022-01-09,80 to 89,8,71,12,91
2022-01-09,90+,2,10,8,20
2022-01-09,Unknown,2,2,0,4
2022-01-09,Total,1073,13609,51,14733
2022-01-10,0 to 9,213,2272,1,2486
2022-01-10,10 to 19,132,2069,0,2201
2022-01-10,20 to 29,199,2974,0,3173
2022-01-10,30 to 39,214,2456,1,2671
2022-01-10,40 to 49,114,1581,4,1699
2022-01-10,50 to 59,95,1323,8,1426
2022-01-10,60 to 69,54,653,7,714
2022-01-10,70 to 79,16,243,10,269
2022-01-10,80 to 89,10,71,12,93
2022-01-10,90+,2,10,8,20
2022-01-10,Unknown,2,2,0,4
2022-01-10,Total,1051,13654,51,14756
2022-01-11,0 to 9,208,2295,1,2504
2022-01-11,10 to 19,138,2076,0,2214
2022-01-11,20 to 29,191,2996,0,3187
2022-01-11,30 to 39,229,2464,2,2695
2022-01-11,40 to 49,119,1588,4,1711
2022-01-11,50 to 59,92,1331,8,1431
2022-01-11,60 to 69,56,655,7,718
2022-01-11,70 to 79,15,245,10,270
2022-01-11,80 to 89,9,72,12,93
2022-01-11,90+,3,10,8,21
2022-01-11,Unknown,2,2,0,4
2022-01-11,Total,1062,13734,52,14848
2022-01-12,0 to 9,196,2311,1,2508
2022-01-12,10 to 19,138,2081,0,2219
2022-01-12,20 to 29,185,3009,0,3194
2022-01-12,30 to 39,221,2482,2,2705
2022-01-12,40 to 49,114,1597,4,1715
2022-01-12,50 to 59,92,1335,8,1435
2022-01-12,60 to 69,58,656,7,721
2022-01-12,70 to 79,16,245,10,271
2022-01-12,80 to 89,9,72,12,93
2022-01-12,90+,3,10,8,21
2022-01-12,Unknown,3,2,0,5
2022-01-12,Total,1035,13800,52,14887
2022-01-13,0 to 9,194,2322,1,2517
2022-01-13,10 to 19,135,2090,0,2225
2022-01-13,20 to 29,188,3016,0,3204
2022-01-13,30 to 39,228,2490,2,2720
2022-01-13,40 to 49,119,1602,4,1725
2022-01-13,50 to 59,92,1338,8,1438
2022-01-13,60 to 69,65,657,7,729
2022-01-13,70 to 79,16,245,10,271
2022-01-13,80 to 89,9,72,12,93
2022-01-13,90+,3,10,8,21
2022-01-13,Unknown,2,2,0,4
2022-01-13,Total,1051,13844,52,14947
2022-01-14,0 to 9,175,2345,1,2521
2022-01-14,10 to 19,133,2106,0,2239
2022-01-14,20 to 29,185,3032,0,3217
2022-01-14,30 to 39,226,2501,2,2729
2022-01-14,40 to 49,111,1614,4,1729
2022-01-14,50 to 59,85,1350,8,1443
2022-01-14,60 to 69,62,664,7,733
2022-01-14,70 to 79,15,247,10,272
2022-01-14,80 to 89,8,73,12,93
2022-01-14,90+,3,10,8,21
2022-01-14,Unknown,2,2,0,4
2022-01-14,Total,1005,13944,52,15001
2022-01-15,0 to 9,177,2357,1,2535
2022-01-15,10 to 19,136,2111,0,2247
2022-01-15,20 to 29,187,3038,0,3225
2022-01-15,30 to 39,238,2506,2,2746
2022-01-15,40 to 49,119,1618,4,1741
2022-01-15,50 to 59,82,1358,8,1448
2022-01-15,60 to 69,59,671,7,737
2022-01-15,70 to 79,14,248,10,272
2022-01-15,80 to 89,8,73,12,93
2022-01-15,90+,3,10,8,21
2022-01-15,Unknown,2,2,0,4
2022-01-15,Total,1025,13992,52,15069
2022-01-16,0 to 9,177,2364,1,2542
2022-01-16,10 to 19,136,2117,0,2253
2022-01-16,20 to 29,191,3050,0,3241
2022-01-16,30 to 39,230,2530,2,2762
2022-01-16,40 to 49,120,1623,4,1747
2022-01-16,50 to 59,84,1362,8,1454
2022-01-16,60 to 69,59,672,7,738
2022-01-16,70 to 79,14,248,10,272
2022-01-16,80 to 89,8,73,12,93
2022-01-16,90+,3,10,8,21
2022-01-16,Unknown,2,2,0,4
2022-01-16,Total,1024,14051,52,15127
2022-01-17,0 to 9,181,2374,1,2556
2022-01-17,10 to 19,131,2125,0,2256
2022-01-17,20 to 29,191,3056,0,3247
2022-01-17,30 to 39,237,2535,2,2774
2022-01-17,40 to 49,119,1626,4,1749
2022-01-17,50 to 59,82,1366,8,1456
2022-01-17,60 to 69,60,674,7,741
2022-01-17,70 to 79,15,248,10,273
2022-01-17,80 to 89,7,74,12,93
2022-01-17,90+,3,10,8,21
2022-01-17,Unknown,2,2,0,4
2022-01-17,Total,1028,14090,52,15170
2022-01-18,0 to 9,175,2393,1,2569
2022-01-18,10 to 19,132,2135,0,2267
2022-01-18,20 to 29,195,3067,0,3262
2022-01-18,30 to 39,229,2560,2,2791
2022-01-18,40 to 49,126,1632,4,1762
2022-01-18,50 to 59,83,1371,8,1462
2022-01-18,60 to 69,58,678,7,743
2022-01-18,70 to 79,17,249,10,276
2022-01-18,80 to 89,7,74,12,93
2022-01-18,90+,3,10,8,21
2022-01-18,Unknown,1,2,0,3
2022-01-18,Total,1026,14171,52,15249
2022-01-19,0 to 9,178,2402,1,2581
2022-01-19,10 to 19,133,2145,0,2278
2022-01-19,20 to 29,196,3083,0,3279
2022-01-19,30 to 39,227,2576,2,2805
2022-01-19,40 to 49,136,1640,4,1780
2022-01-19,50 to 59,80,1379,8,1467
2022-01-19,60 to 69,58,684,7,749
2022-01-19,70 to 79,17,250,10,277
2022-01-19,80 to 89,7,74,12,93
2022-01-19,90+,3,10,8,21
2022-01-19,Unknown,2,2,0,4
2022-01-19,Total,1037,14245,52,15334
2022-01-20,0 to 9,181,2412,1,2594
2022-01-20,10 to 19,131,2155,0,2286
2022-01-20,20 to 29,195,3094,0,3289
2022-01-20,30 to 39,237,2585,2,2824
2022-01-20,40 to 49,135,1650,4,1789
2022-01-20,50 to 59,82,1382,8,1472
2022-01-20,60 to 69,59,685,7,751
2022-01-20,70 to 79,16,251,10,277
2022-01-20,80 to 89,7,74,12,93
2022-01-20,90+,3,10,8,21
2022-01-20,Unknown,3,2,0,5
2022-01-20,Total,1049,14300,52,15401
2022-01-21,0 to 9,182,2421,1,2604
2022-01-21,10 to 19,141,2161,0,2302
2022-01-21,20 to 29,195,3101,0,3296
2022-01-21,30 to 39,243,2598,2,2843
2022-01-21,40 to 49,139,1654,4,1797
2022-01-21,50 to 59,83,1392,8,1483
2022-01-21,60 to 69,61,688,7,756
2022-01-21,70 to 79,15,254,10,279
2022-01-21,80 to 89,6,76,12,94
2022-01-21,90+,1,12,8,21
2022-01-21,Unknown,2,2,0,4
2022-01-21,Total,1068,14359,52,15479
2022-01-22,0 to 9,181,2439,1,2621
2022-01-22,10 to 19,142,2165,0,2307
2022-01-22,20 to 29,204,3107,0,3311
2022-01-22,30 to 39,250,2604,2,2856
2022-01-22,40 to 49,139,1659,4,1802
2022-01-22,50 to 59,88,1395,8,1491
2022-01-22,60 to 69,67,688,7,762
2022-01-22,70 to 79,16,255,10,281
2022-01-22,80 to 89,6,76,12,94
2022-01-22,90+,1,12,8,21
2022-01-22,Unknown,2,2,0,4
2022-01-22,Total,1096,14402,52,15550
2022-01-23,0 to 9,189,2444,1,2634
2022-01-23,10 to 19,145,2170,0,2315
2022-01-23,20 to 29,215,3111,0,3326
2022-01-23,30 to 39,266,2609,2,2877
2022-01-23,40 to 49,142,1667,4,1813
2022-01-23,50 to 59,85,1403,8,1496
2022-01-23,60 to 69,68,688,7,763
2022-01-23,70 to 79,16,256,10,282
2022-01-23,80 to 89,4,78,12,94
2022-01-23,90+,1,12,8,21
2022-01-23,Unknown,2,2,0,4
2022-01-23,Total,1133,14440,52,15625
2022-01-24,0 to 9,189,2451,1,2641
2022-01-24,10 to 19,143,2176,0,2319
2022-01-24,20 to 29,226,3115,0,3341
2022-01-24,30 to 39,278,2613,2,2893
2022-01-24,40 to 49,145,1673,4,1822
2022-01-24,50 to 59,90,1406,8,1504
2022-01-24,60 to 69,69,689,7,765
2022-01-24,70 to 79,16,256,10,282
2022-01-24,80 to 89,4,78,12,94
2022-01-24,90+,1,12,8,21
2022-01-24,Unknown,3,2,0,5
2022-01-24,Total,1164,14471,52,15687
2022-01-25,0 to 9,189,2456,1,2646
2022-01-25,10 to 19,145,2180,0,2325
2022-01-25,20 to 29,232,3123,0,3355
2022-01-25,30 to 39,279,2621,2,2902
2022-01-25,40 to 49,150,1677,4,1831
2022-01-25,50 to 59,101,1407,8,1516
2022-01-25,60 to 69,70,691,7,768
2022-01-25,70 to 79,17,256,10,283
2022-01-25,80 to 89,4,78,12,94
2022-01-25,90+,1,12,8,21
2022-01-25,Unknown,2,2,0,4
2022-01-25,Total,1190,14503,52,15745
2022-01-26,0 to 9,199,2462,1,2662
2022-01-26,10 to 19,155,2184,0,2339
2022-01-26,20 to 29,230,3136,0,3366
2022-01-26,30 to 39,292,2631,2,2925
2022-01-26,40 to 49,154,1684,4,1842
2022-01-26,50 to 59,108,1412,8,1528
2022-01-26,60 to 69,76,692,7,775
2022-01-26,70 to 79,20,256,10,286
2022-01-26,80 to 89,4,78,12,94
2022-01-26,90+,1,12,8,21
2022-01-26,Unknown,2,2,0,4
2022-01-26,Total,1241,14549,52,15842
2022-01-27,0 to 9,208,2473,1,2682
2022-01-27,10 to 19,175,2193,0,2368
2022-01-27,20 to 29,233,3156,0,3389
2022-01-27,30 to 39,315,2642,2,2959
2022-01-27,40 to 49,163,1691,4,1858
2022-01-27,50 to 59,116,1419,8,1543
2022-01-27,60 to 69,82,695,7,784
2022-01-27,70 to 79,21,258,10,289
2022-01-27,80 to 89,4,78,12,94
2022-01-27,90+,1,12,8,21
2022-01-27,Unknown,2,2,0,4
2022-01-27,Total,1320,14619,52,15991
2022-01-28,0 to 9,216,2484,1,2701
2022-01-28,10 to 19,196,2196,0,2392
2022-01-28,20 to 29,244,3175,0,3419
2022-01-28,30 to 39,332,2657,2,2991
2022-01-28,40 to 49,171,1702,4,1877
2022-01-28,50 to 59,127,1424,8,1559
2022-01-28,60 to 69,89,700,7,796
2022-01-28,70 to 79,22,258,10,290
2022-01-28,80 to 89,4,78,12,94
2022-01-28,90+,1,12,8,21
2022-01-28,Unknown,3,3,0,6
2022-01-28,Total,1405,14689,52,16146
2022-01-29,0 to 9,230,2491,1,2722
2022-01-29,10 to 19,211,2203,0,2414
2022-01-29,20 to 29,258,3185,0,3443
2022-01-29,30 to 39,349,2668,2,3019
2022-01-29,40 to 49,182,1708,4,1894
2022-01-29,50 to 59,140,1426,8,1574
2022-01-29,60 to 69,91,704,7,802
2022-01-29,70 to 79,27,258,10,295
2022-01-29,80 to 89,3,79,12,94
2022-01-29,90+,1,12,8,21
2022-01-29,Unknown,5,3,0,8
2022-01-29,Total,1497,14737,52,16286
2022-01-30,0 to 9,237,2499,1,2737
2022-01-30,10 to 19,224,2211,0,2435
2022-01-30,20 to 29,270,3198,0,3468
2022-01-30,30 to 39,357,2686,2,3045
2022-01-30,40 to 49,191,1718,4,1913
2022-01-30,50 to 59,146,1433,8,1587
2022-01-30,60 to 69,87,712,7,806
2022-01-30,70 to 79,29,258,11,298
2022-01-30,80 to 89,5,80,12,97
2022-01-30,90+,1,12,8,21
2022-01-30,Unknown,6,3,0,9
2022-01-30,Total,1553,14810,53,16416
2022-01-31,0 to 9,257,2508,1,2766
2022-01-31,10 to 19,258,2221,0,2479
2022-01-31,20 to 29,299,3203,0,3502
2022-01-31,30 to 39,384,2701,2,3087
2022-01-31,40 to 49,205,1728,4,1937
2022-01-31,50 to 59,158,1434,8,1600
2022-01-31,60 to 69,96,714,7,817
2022-01-31,70 to 79,33,260,11,304
2022-01-31,80 to 89,5,81,12,98
2022-01-31,90+,1,12,8,21
2022-01-31,Unknown,6,3,0,9
2022-01-31,Total,1702,14865,53,16620
2022-02-01,0 to 9,272,2518,1,2791
2022-02-01,10 to 19,289,2231,0,2520
2022-02-01,20 to 29,326,3213,0,3539
2022-02-01,30 to 39,407,2719,2,3128
2022-02-01,40 to 49,223,1734,4,1961
2022-02-01,50 to 59,170,1438,8,1616
2022-02-01,60 to 69,104,719,7,830
2022-02-01,70 to 79,35,260,11,306
2022-02-01,80 to 89,5,81,12,98
2022-02-01,90+,0,13,8,21
2022-02-01,Unknown,4,3,0,7
2022-02-01,Total,1835,14929,53,16817
2022-02-02,0 to 9,288,2526,1,2815
2022-02-02,10 to 19,328,2234,0,2562
2022-02-02,20 to 29,353,3223,0,3576
2022-02-02,30 to 39,422,2732,2,3156
2022-02-02,40 to 49,252,1738,4,1994
2022-02-02,50 to 59,181,1443,8,1632
2022-02-02,60 to 69,103,726,7,836
2022-02-02,70 to 79,38,261,11,310
2022-02-02,80 to 89,5,81,12,98
2022-02-02,90+,0,13,8,21
2022-02-02,Unknown,4,1,0,5
2022-02-02,Total,1974,14978,53,17005
2022-02-03,0 to 9,307,2538,1,2846
2022-02-03,10 to 19,378,2248,0,2626
2022-02-03,20 to 29,389,3231,0,3620
2022-02-03,30 to 39,455,2749,2,3206
2022-02-03,40 to 49,280,1748,4,2032
2022-02-03,50 to 59,209,1446,8,1663
2022-02-03,60 to 69,108,728,7,843
2022-02-03,70 to 79,41,262,11,314
2022-02-03,80 to 89,6,81,12,99
2022-02-03,90+,1,13,8,22
2022-02-03,Unknown,5,1,0,6
2022-02-03,Total,2179,15045,53,17277
2022-02-04,0 to 9,333,2547,1,2881
2022-02-04,10 to 19,416,2258,0,2674
2022-02-04,20 to 29,427,3241,0,3668
2022-02-04,30 to 39,502,2761,2,3265
2022-02-04,40 to 49,307,1757,4,2068
2022-02-04,50 to 59,224,1453,8,1685
2022-02-04,60 to 69,116,731,7,854
2022-02-04,70 to 79,50,262,11,323
2022-02-04,80 to 89,6,81,12,99
2022-02-04,90+,2,13,8,23
2022-02-04,Unknown,5,1,0,6
2022-02-04,Total,2388,15105,53,17546
2022-02-05,0 to 9,340,2568,1,2909
2022-02-05,10 to 19,444,2267,0,2711
2022-02-05,20 to 29,462,3257,0,3719
2022-02-05,30 to 39,523,2787,2,3312
2022-02-05,40 to 49,330,1767,4,2101
2022-02-05,50 to 59,236,1461,8,1705
2022-02-05,60 to 69,117,735,7,859
2022-02-05,70 to 79,51,263,11,325
2022-02-05,80 to 89,7,82,12,101
2022-02-05,90+,2,13,8,23
2022-02-05,Unknown,7,1,0,8
2022-02-05,Total,2519,15201,53,17773
2022-02-06,0 to 9,365,2570,1,2936
2022-02-06,10 to 19,485,2272,0,2757
2022-02-06,20 to 29,498,3262,0,3760
2022-02-06,30 to 39,554,2794,2,3350
2022-02-06,40 to 49,353,1770,4,2127
2022-02-06,50 to 59,258,1464,8,1730
2022-02-06,60 to 69,120,737,7,864
2022-02-06,70 to 79,56,263,11,330
2022-02-06,80 to 89,8,82,12,102
2022-02-06,90+,2,13,8,23
2022-02-06,Unknown,8,1,0,9
2022-02-06,Total,2707,15228,53,17988
2022-02-07,0 to 9,377,2594,1,2972
2022-02-07,10 to 19,525,2283,0,2808
2022-02-07,20 to 29,549,3273,0,3822
2022-02-07,30 to 39,567,2820,2,3389
2022-02-07,40 to 49,374,1779,4,2157
2022-02-07,50 to 59,276,1470,8,1754
2022-02-07,60 to 69,133,740,7,880
2022-02-07,70 to 79,63,265,11,339
2022-02-07,80 to 89,8,82,12,102
2022-02-07,90+,2,13,8,23
2022-02-07,Unknown,6,1,0,7
2022-02-07,Total,2880,15320,53,18253
2022-02-08,0 to 9,407,2608,1,3016
2022-02-08,10 to 19,553,2290,0,2843
2022-02-08,20 to 29,576,3296,0,3872
2022-02-08,30 to 39,596,2835,2,3433
2022-02-08,40 to 49,389,1797,4,2190
2022-02-08,50 to 59,292,1477,8,1777
2022-02-08,60 to 69,140,745,7,892
2022-02-08,70 to 79,64,270,11,345
2022-02-08,80 to 89,10,82,12,104
2022-02-08,90+,2,13,8,23
2022-02-08,Unknown,6,2,0,8
2022-02-08,Total,3035,15415,53,18503
2022-02-09,0 to 9,429,2623,1,3053
2022-02-09,10 to 19,584,2300,0,2884
2022-02-09,20 to 29,640,3316,0,3956
2022-02-09,30 to 39,649,2849,2,3500
2022-02-09,40 to 49,426,1814,4,2244
2022-02-09,50 to 59,324,1479,8,1811
2022-02-09,60 to 69,145,752,7,904
2022-02-09,70 to 79,69,270,11,350
2022-02-09,80 to 89,10,82,12,104
2022-02-09,90+,2,13,8,23
2022-02-09,Unknown,7,1,0,8
2022-02-09,Total,3285,15499,53,18837
2022-02-10,0 to 9,481,2639,1,3121
2022-02-10,10 to 19,650,2315,0,2965
2022-02-10,20 to 29,728,3332,0,4060
2022-02-10,30 to 39,717,2874,2,3593
2022-02-10,40 to 49,465,1828,4,2297
2022-02-10,50 to 59,362,1490,8,1860
2022-02-10,60 to 69,161,755,7,923
2022-02-10,70 to 79,72,271,11,354
2022-02-10,80 to 89,13,82,12,107
2022-02-10,90+,4,13,8,25
2022-02-10,Unknown,7,1,0,8
2022-02-10,Total,3660,15600,53,19313
2022-02-11,0 to 9,535,2648,1,3184
2022-02-11,10 to 19,703,2327,0,3030
2022-02-11,20 to 29,825,3343,0,4168
2022-02-11,30 to 39,807,2888,2,3697
2022-02-11,40 to 49,526,1834,4,2364
2022-02-11,50 to 59,394,1496,8,1898
2022-02-11,60 to 69,168,761,7,936
2022-02-11,70 to 79,73,272,11,356
2022-02-11,80 to 89,16,82,12,110
2022-02-11,90+,4,13,8,25
2022-02-11,Unknown,8,1,0,9
2022-02-11,Total,4059,15665,53,19777
2022-02-13,0 to 9,706,2676,1,3383
2022-02-13,10 to 19,1016,2354,0,3370
2022-02-13,20 to 29,1221,3381,0,4602
2022-02-13,30 to 39,1079,2932,2,4013
2022-02-13,40 to 49,727,1859,4,2590
2022-02-13,50 to 59,528,1520,8,2056
2022-02-13,60 to 69,238,772,7,1017
2022-02-13,70 to 79,110,273,11,394
2022-02-13,80 to 89,23,84,12,119
2022-02-13,90+,8,13,8,29
2022-02-13,Unknown,0,0,0,0
2022-02-13,Total,5656,15864,53,21573
2022-02-14,0 to 9,801,2691,1,3493
2022-02-14,10 to 19,1125,2366,0,3491
2022-02-14,20 to 29,1391,3402,0,4793
2022-02-14,30 to 39,1198,2952,2,4152
2022-02-14,40 to 49,800,1873,4,2677
2022-02-14,50 to 59,577,1535,8,2120
2022-02-14,60 to 69,265,777,7,1049
2022-02-14,70 to 79,115,273,11,399
2022-02-14,80 to 89,27,84,12,123
2022-02-14,90+,10,13,8,31
2022-02-14,Unknown,0,0,0,0
2022-02-14,Total,6309,15966,53,22328
2022-02-15,0 to 9,931,2700,1,3632
2022-02-15,10 to 19,1338,2393,0,3731
2022-02-15,20 to 29,1643,3422,0,5065
2022-02-15,30 to 39,1420,2974,2,4396
2022-02-15,40 to 49,918,1891,4,2813
2022-02-15,50 to 59,645,1557,8,2210
2022-02-15,60 to 69,299,781,7,1087
2022-02-15,70 to 79,128,276,11,415
2022-02-15,80 to 89,32,84,12,128
2022-02-15,90+,11,13,8,32
2022-02-15,Unknown,0,0,0,0
2022-02-15,Total,7365,16091,53,23509
2022-02-16,0 to 9,1103,2715,1,3819
2022-02-16,10 to 19,1624,2429,0,4053
2022-02-16,20 to 29,2016,3440,0,5456
2022-02-16,30 to 39,1660,3014,2,4676
2022-02-16,40 to 49,1055,1920,4,2979
2022-02-16,50 to 59,747,1577,8,2332
2022-02-16,60 to 69,344,790,7,1141
2022-02-16,70 to 79,137,281,11,429
2022-02-16,80 to 89,33,84,12,129
2022-02-16,90+,15,13,8,36
2022-02-16,Unknown,0,0,0,0
2022-02-16,Total,8734,16263,53,25050
2022-02-17,0 to 9,1326,2741,1,4068
2022-02-17,10 to 19,1941,2485,0,4426
2022-02-17,20 to 29,2508,3469,0,5977
2022-02-17,30 to 39,1934,3049,2,4985
2022-02-17,40 to 49,1229,1944,4,3177
2022-02-17,50 to 59,883,1597,8,2488
2022-02-17,60 to 69,394,800,7,1201
2022-02-17,70 to 79,149,287,11,447
2022-02-17,80 to 89,34,84,12,130
2022-02-17,90+,14,14,8,36
2022-02-17,Unknown,0,0,0,0
2022-02-17,Total,10412,16470,53,26935
2022-02-18,0 to 9,1455,2759,1,4215
2022-02-18,10 to 19,2298,2506,0,4804
2022-02-18,20 to 29,3014,3498,0,6512
2022-02-18,30 to 39,2233,3078,2,5313
2022-02-18,40 to 49,1410,1959,4,3373
2022-02-18,50 to 59,992,1612,8,2612
2022-02-18,60 to 69,461,807,7,1275
2022-02-18,70 to 79,174,289,11,474
2022-02-18,80 to 89,40,84,12,136
2022-02-18,90+,15,14,8,37
2022-02-18,Unknown,0,0,0,0
2022-02-18,Total,12092,16606,53,28751
2022-02-19,0 to 9,1727,2787,1,4515
2022-02-19,10 to 19,2860,2535,0,5395
2022-02-19,20 to 29,3551,3530,0,7081
2022-02-19,30 to 39,2570,3113,2,5685
2022-02-19,40 to 49,1617,1980,4,3601
2022-02-19,50 to 59,1134,1627,8,2769
2022-02-19,60 to 69,524,812,7,1343
2022-02-19,70 to 79,201,292,11,504
2022-02-19,80 to 89,56,85,12,153
2022-02-19,90+,19,14,8,41
2022-02-19,Unknown,0,0,0,0
2022-02-19,Total,14259,16775,53,31087
2022-02-20,0 to 9,1948,2802,1,4751
2022-02-20,10 to 19,3405,2557,0,5962
2022-02-20,20 to 29,4101,3549,0,7650
2022-02-20,30 to 39,2881,3141,2,6024
2022-02-20,40 to 49,1833,1995,4,3832
2022-02-20,50 to 59,1278,1637,8,2923
2022-02-20,60 to 69,604,816,7,1427
2022-02-20,70 to 79,227,297,11,535
2022-02-20,80 to 89,71,85,12,168
2022-02-20,90+,23,14,8,45
2022-02-20,Unknown,0,0,0,0
2022-02-20,Total,16371,16893,53,33317
2022-02-21,0 to 9,2198,2829,1,5028
2022-02-21,10 to 19,4152,2594,0,6746
2022-02-21,20 to 29,4801,3590,0,8391
2022-02-21,30 to 39,3322,3176,2,6500
2022-02-21,40 to 49,2093,2017,5,4115
2022-02-21,50 to 59,1434,1647,9,3090
2022-02-21,60 to 69,666,827,8,1501
2022-02-21,70 to 79,256,300,11,567
2022-02-21,80 to 89,81,86,12,179
2022-02-21,90+,23,14,8,45
2022-02-21,Unknown,0,0,0,0
2022-02-21,Total,19026,17080,56,36162
2022-02-22,0 to 9,2478,2854,1,5333
2022-02-22,10 to 19,5113,2628,0,7741
2022-02-22,20 to 29,5559,3631,0,9190
2022-02-22,30 to 39,3689,3217,2,6908
2022-02-22,40 to 49,2370,2041,5,4416
2022-02-22,50 to 59,1631,1661,9,3301
2022-02-22,60 to 69,762,833,8,1603
2022-02-22,70 to 79,296,302,11,609
2022-02-22,80 to 89,100,86,12,198
2022-02-22,90+,24,14,8,46
2022-02-22,Unknown,0,0,0,0
2022-02-22,Total,22022,17267,56,39345
2022-02-23,0 to 9,2782,2875,1,5658
2022-02-23,10 to 19,6422,2666,0,9088
2022-02-23,20 to 29,7576,3671,0,11247
2022-02-23,30 to 39,4832,3248,2,8082
2022-02-23,40 to 49,2968,2076,5,5049
2022-02-23,50 to 59,1969,1679,9,3657
2022-02-23,60 to 69,916,843,8,1767
2022-02-23,70 to 79,342,309,11,662
2022-02-23,80 to 89,117,86,12,215
2022-02-23,90+,25,15,8,48
2022-02-23,Unknown,0,0,0,0
2022-02-23,Total,27949,17468,56,45473
2022-02-24,0 to 9,3548,2909,1,6458
2022-02-24,10 to 19,8927,2707,0,11634
2022-02-24,20 to 29,11271,3717,0,14988
2022-02-24,30 to 39,7012,3309,2,10323
2022-02-24,40 to 49,4278,2106,5,6389
2022-02-24,50 to 59,2776,1705,9,4490
2022-02-24,60 to 69,1255,852,8,2115
2022-02-24,70 to 79,466,314,11,791
2022-02-24,80 to 89,158,87,12,257
2022-02-24,90+,29,15,8,52
2022-02-24,Unknown,0,0,0,0
2022-02-24,Total,39720,17721,56,57497
2022-02-25,0 to 9,4679,2942,1,7622
2022-02-25,10 to 19,11939,2751,0,14690
2022-02-25,20 to 29,14882,3766,0,18648
2022-02-25,30 to 39,9403,3346,2,12751
2022-02-25,40 to 49,5841,2142,5,7988
2022-02-25,50 to 59,3796,1720,9,5525
2022-02-25,60 to 69,1698,859,8,2565
2022-02-25,70 to 79,632,319,11,962
2022-02-25,80 to 89,215,87,12,314
2022-02-25,90+,34,15,8,57
